challenge_id;user_id;round_images;target_disease;target_image;success;selected_disease;selected_position;final_rank;time;shown_images;positive_feed;true_positive;negative_feed;true_negative
310_1;310;4;Mucor;mr1;True;Mucor;1;[('Mucor', 1), ('Alternaria', -0.9), ('Botrytis', -0.9), ('Penicillium', -0.9)];30.01;['18-DSS-KA-2-034_alternaria_fuji_outer_1', 'DSS_MX_1_FUJI_0031', 'DSS_KA_1_102', 'IMG_6281'];['DSS_KA_1_102'];['DSS_KA_1_102'];['18-DSS-KA-2-034_alternaria_fuji_outer_1', 'DSS_MX_1_FUJI_0031', 'IMG_6281'];['18-DSS-KA-2-034_alternaria_fuji_outer_1', 'DSS_MX_1_FUJI_0031', 'IMG_6281']
310_2;310;12;Alternaria;a3;True;Alternaria;1;[('Alternaria', 0.30000000000000004), ('Penicillium', -1.6), ('Botrytis', -5.4), ('Mucor', -5.4)];109.145;['IMG_8906', 'DSS_KA_1_107', '18-DSS-MX-1-005_alternaria_golden-delicious_outer_2', 'DSS_MX_1_BRAEBURN_0035', 'IMG_2975', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_1', 'IMG_9419', 'IMG_8067', 'DSS_MX_1_GOLD_0010', '18-DSS-KA-2-034_alternaria_fuji_outer_1', 'IMG_3047', 'IMG_6415', 'IMG_8072', 'IMG_9944', '18-DSS-KA-2-022_alternaria_fuji_outer_1', 'IMG_2728', 'DSS_GEOS_1_189', 'IMG_6438', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_2', 'IMG_3064', 'IMG_2669', 'IMG_6281', '18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1', 'DSS_GEOS_1_154'];['18-DSS-BS-NTO-1-005_alternaria_natyra_outer_1', 'IMG_9419', '18-DSS-KA-2-034_alternaria_fuji_outer_1', 'IMG_6415', '18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1'];['18-DSS-BS-NTO-1-005_alternaria_natyra_outer_1', '18-DSS-KA-2-034_alternaria_fuji_outer_1', '18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1'];['IMG_8906', 'DSS_KA_1_107', '18-DSS-MX-1-005_alternaria_golden-delicious_outer_2', 'DSS_MX_1_BRAEBURN_0035', 'IMG_2975', 'IMG_8067', 'DSS_MX_1_GOLD_0010', 'IMG_3047', 'IMG_8072', 'IMG_9944', '18-DSS-KA-2-022_alternaria_fuji_outer_1', 'IMG_2728', 'DSS_GEOS_1_189', 'IMG_6438', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_2', 'IMG_3064', 'IMG_2669', 'IMG_6281', 'DSS_GEOS_1_154'];['IMG_8906', 'DSS_KA_1_107', 'DSS_MX_1_BRAEBURN_0035', 'IMG_2975', 'IMG_8067', 'DSS_MX_1_GOLD_0010', 'IMG_3047', 'IMG_8072', 'IMG_9944', 'IMG_2728', 'DSS_GEOS_1_189', 'IMG_6438', 'IMG_3064', 'IMG_2669', 'IMG_6281', 'DSS_GEOS_1_154']
301_1;301;8;Botrytis;bt2;False;Penicillium;1;[('Penicillium', 1.1), ('Alternaria', 0.09999999999999998), ('Botrytis', 0.09999999999999998), ('Mucor', -1.8)];98.892;['IMG_9279', '18-DSS-KA-3-028_alternaria_granny-smith_outer_1', 'DSS_GEOS_1_189', 'IMG_2252', 'IMG_2568', '18-DSS-BS-NTO-1-002_alternaria_natyra_outer_4', 'DSS_GEOS_1_154', 'IMG_3047', '18-DSS-MX-1-005_alternaria_golden-delicious_outer_2', 'IMG_3064', 'IMG_5853', 'IMG_9162', 'IMG_9580', 'biosudtirol_483', 'IMG_8067', '18-DSS-KA-2-034_alternaria_fuji_outer_1', 'IMG_7451', 'DSS_MX_1_FUJI_0031', 'IMG_2669', '18-DSS-MX-1-137_alternaria_red-delicious_outer_2', '18-DSS-BNL-1-002_alternaria_bonita_outer_2', 'DSS_GEOS_1_349', 'DSS_MX_1_BRAEBURN_0040', 'DSS_MX_1_GOLD_0010'];['DSS_GEOS_1_189', 'IMG_9162', '18-DSS-BNL-1-002_alternaria_bonita_outer_2', 'DSS_GEOS_1_349'];['DSS_GEOS_1_189'];['IMG_7451', 'DSS_MX_1_FUJI_0031', 'IMG_2669', '18-DSS-MX-1-137_alternaria_red-delicious_outer_2', 'DSS_MX_1_BRAEBURN_0040'];['DSS_MX_1_FUJI_0031', 'IMG_2669', '18-DSS-MX-1-137_alternaria_red-delicious_outer_2', 'DSS_MX_1_BRAEBURN_0040']
301_2;301;8;Alternaria;a3;False;Mucor;1;[('Mucor', 1.1), ('Penicillium', -0.8), ('Alternaria', -3.5), ('Botrytis', -3.6)];321.398;['IMG_2975', '18-DSS-BNL-1-002_alternaria_bonita_outer_2', 'IMG_7451', 'DSS_MX_1_FUJI_0021', '18-DSS-KA-3-028_alternaria_granny-smith_outer_1', 'IMG_3047', 'IMG_6281', 'DSS_MX_1_FUJI_0001', 'IMG_9419', 'IMG_8072', 'DSS_KA_1_012', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_1', 'IMG_2669', 'DSS_KA_1_049', 'IMG_2568', '18-DSS-KA-2-031_alternaria_fuji_outer_1', '18-DSS-MX-1-010_alternaria_golden-delicious_outer_2', 'IMG_8394', 'IMG_7921', 'DSS_MX_1_BRAEBURN_0035', '18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1', 'IMG_7955', 'IMG_5853', 'DSS_KA_1_058'];['IMG_2975', 'DSS_KA_1_012', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_1', 'IMG_7921'];['18-DSS-BS-NTO-1-005_alternaria_natyra_outer_1'];['18-DSS-BNL-1-002_alternaria_bonita_outer_2', 'IMG_7451', 'DSS_MX_1_FUJI_0021', '18-DSS-KA-3-028_alternaria_granny-smith_outer_1', 'IMG_3047', 'IMG_6281', 'DSS_MX_1_FUJI_0001', 'IMG_2568', '18-DSS-KA-2-031_alternaria_fuji_outer_1', '18-DSS-MX-1-010_alternaria_golden-delicious_outer_2', 'IMG_8394', '18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1'];['IMG_7451', 'DSS_MX_1_FUJI_0021', 'IMG_3047', 'IMG_6281', 'DSS_MX_1_FUJI_0001', 'IMG_2568', 'IMG_8394']
301_3;301;8;Alternaria;a3;False;Botrytis;2;[('Alternaria', 5.3), ('Botrytis', 1.5), ('Penicillium', -7.000000000000001), ('Mucor', -7.200000000000001)];677.78;['18-DSS-BS-NTO-1-005_alternaria_natyra_outer_2', 'IMG_3047', 'IMG_3910', 'IMG_7955', 'DSS_MX_1_GOLD_0008', 'DSS_MX_1_FUJI_0015', '18-DSS-BS-NTO-1-002_alternaria_natyra_outer_4', 'IMG_2975', 'DSS_MX_1_BRAEBURN_0020', '18-DSS-MX-1-098_alternaria_morgenduft_outer_3', 'IMG_2281', 'DSS_MX_1_FUJI_0063', 'IMG_9419', 'DSS_KA_1_102', 'DSS_KA_1_107', '18-DSS-KA-2-034_alternaria_fuji_outer_1', 'IMG_2669', 'IMG_2568', 'IMG_2252', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_7451', '18-DSS-BNL-1-002_alternaria_bonita_outer_2', 'DSS_MX_1_FUJI_0034', 'IMG_9580', 'IMG_2669', 'IMG_2568', 'IMG_2252', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_7451', '18-DSS-BNL-1-002_alternaria_bonita_outer_2', 'DSS_MX_1_FUJI_0034', 'IMG_9580', 'IMG_2669', 'IMG_2568', 'IMG_2252', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_7451', '18-DSS-BNL-1-002_alternaria_bonita_outer_2', 'DSS_MX_1_FUJI_0034', 'IMG_9580', 'IMG_2669', 'IMG_2568', 'IMG_2252', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_7451', '18-DSS-BNL-1-002_alternaria_bonita_outer_2', 'DSS_MX_1_FUJI_0034', 'IMG_9580', 'IMG_2669', 'IMG_2568', 'IMG_2252', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_7451', '18-DSS-BNL-1-002_alternaria_bonita_outer_2', 'DSS_MX_1_FUJI_0034', 'IMG_9580', 'IMG_2669', 'IMG_2568', 'IMG_2252', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_7451', '18-DSS-BNL-1-002_alternaria_bonita_outer_2', 'DSS_MX_1_FUJI_0034', 'IMG_9580'];['DSS_MX_1_FUJI_0015', 'DSS_MX_1_FUJI_0063', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_2568', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_2568', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_2568', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_7451', '18-DSS-BNL-1-002_alternaria_bonita_outer_2', 'IMG_2568', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_7451', '18-DSS-BNL-1-002_alternaria_bonita_outer_2'];['18-DSS-BNL-1-001_alternaria_bonita_outer_4', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', '18-DSS-BNL-1-002_alternaria_bonita_outer_2', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', '18-DSS-BNL-1-002_alternaria_bonita_outer_2'];['18-DSS-BS-NTO-1-005_alternaria_natyra_outer_2', 'IMG_7955', '18-DSS-BS-NTO-1-002_alternaria_natyra_outer_4', 'IMG_2975', 'IMG_9419', 'DSS_KA_1_107', '18-DSS-KA-2-034_alternaria_fuji_outer_1', 'IMG_2252', 'IMG_7451', 'IMG_9580', 'IMG_2252', 'IMG_7451', 'IMG_9580', 'IMG_2252', 'IMG_7451', 'IMG_9580', 'IMG_2252', 'IMG_7451', 'IMG_9580', 'IMG_2252', 'DSS_MX_1_FUJI_0034', 'IMG_9580', 'IMG_2669', 'IMG_2252', 'DSS_MX_1_FUJI_0034', 'IMG_9580'];['IMG_7955', 'IMG_2975', 'IMG_9419', 'DSS_KA_1_107', 'IMG_2252', 'IMG_7451', 'IMG_9580', 'IMG_2252', 'IMG_7451', 'IMG_9580', 'IMG_2252', 'IMG_7451', 'IMG_9580', 'IMG_2252', 'IMG_7451', 'IMG_9580', 'IMG_2252', 'DSS_MX_1_FUJI_0034', 'IMG_9580', 'IMG_2669', 'IMG_2252', 'DSS_MX_1_FUJI_0034', 'IMG_9580']
301_4;301;12;Penicillium;pc2;True;Alternaria;1;[('Alternaria', 5), ('Penicillium', 2), ('Botrytis', 1), ('Mucor', 1)];451.584;['18-DSS-KA-2-031_alternaria_fuji_outer_1', 'biosudtirol_039', 'DSS_GEOS_1_189', 'DSS_KA_1_102', '18-DSS-MX-1-098_alternaria_morgenduft_outer_3', 'IMG_2281', 'IMG_9419', 'IMG_9279', 'IMG_2728', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_1', 'IMG_2039', 'IMG_6281', '18-DSS-KA-3-028_alternaria_granny-smith_outer_1', 'biosudtirol_044', 'IMG_3064', 'IMG_2568', '18-DSS-KA-3-008_alternaria_granny-smith_outer_1', 'IMG_7948', 'DSS_MX_1_GOLD_0010', 'DSS_KA_1_012', 'IMG_7451', 'IMG_3067', 'DSS_MX_1_FUJI_0001', '18-DSS-KA-3-030_alternaria_granny-smith_outer_1'];['18-DSS-KA-2-031_alternaria_fuji_outer_1', '18-DSS-MX-1-098_alternaria_morgenduft_outer_3', 'IMG_9419', 'IMG_9279', 'IMG_2039', 'IMG_6281', '18-DSS-KA-3-028_alternaria_granny-smith_outer_1', '18-DSS-KA-3-008_alternaria_granny-smith_outer_1', '18-DSS-KA-3-030_alternaria_granny-smith_outer_1'];['IMG_9419', 'IMG_2039'];[];[]
303_1;303;4;Mucor;mr3;False;Botrytis;1;[('Botrytis', 4.1), ('Alternaria', -5.4), ('Mucor', -5.4), ('Penicillium', -5.4)];85.152;['DSS_KA_1_012', '18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1', 'IMG_0175', 'IMG_2568', 'IMG_5853', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_2', 'IMG_5866', 'DSS_MX_1_BRAEBURN_0035', 'DSS_MX_1_FUJI_0058', 'DSS_MX_1_BRAEBURN_0040', '18-DSS-KA-2-034_alternaria_fuji_outer_1', 'DSS_MX_1_GOLD_0008', 'IMG_3910', 'IMG_9944', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_9580', '18-DSS-KA-3-028_alternaria_granny-smith_outer_1', 'IMG_6281', 'IMG_9419', 'IMG_2712', '18-DSS-MX-1-010_alternaria_golden-delicious_outer_2', 'IMG_9279', 'DSS_GEOS_1_189', 'IMG_4891'];['IMG_5853', 'DSS_MX_1_GOLD_0008', 'IMG_3910', 'IMG_6281', 'DSS_GEOS_1_189'];[];['DSS_KA_1_012', '18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1', 'IMG_0175', 'IMG_2568', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_2', 'IMG_5866', 'DSS_MX_1_BRAEBURN_0035', 'DSS_MX_1_FUJI_0058', 'DSS_MX_1_BRAEBURN_0040', '18-DSS-KA-2-034_alternaria_fuji_outer_1', 'IMG_9944', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'IMG_9580', '18-DSS-KA-3-028_alternaria_granny-smith_outer_1', 'IMG_9419', 'IMG_2712', '18-DSS-MX-1-010_alternaria_golden-delicious_outer_2', 'IMG_9279', 'IMG_4891'];['18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1', 'IMG_0175', 'IMG_2568', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_2', 'IMG_5866', 'DSS_MX_1_FUJI_0058', '18-DSS-KA-2-034_alternaria_fuji_outer_1', 'IMG_9944', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', '18-DSS-KA-3-028_alternaria_granny-smith_outer_1', 'IMG_9419', '18-DSS-MX-1-010_alternaria_golden-delicious_outer_2', 'IMG_4891']
303_2;303;4;Penicillium;pc2;True;Penicillium;1;[('Penicillium', 2.2), ('Botrytis', 0.29999999999999993), ('Mucor', -1.6), ('Alternaria', -3.5)];156.273;['biosudtirol_024', 'IMG_8394', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_1', 'IMG_3064', 'biosudtirol_483', 'IMG_1831', '18-DSS-BS-NTO-1-002_alternaria_natyra_outer_4', 'DSS_MX_1_GOLD_0008', 'IMG_2281', '18-DSS-KA-3-005_alternaria_granny-smith_outer_1', 'DSS_KA_1_058', 'IMG_4891', 'DSS_KA_1_049', 'IMG_3047', 'IMG_2568', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', '18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1', 'DSS_MX_1_BRAEBURN_0020', 'IMG_9944', 'DSS_MX_1_GOLD_0010', 'IMG_3067', 'IMG_5853', '18-DSS-MX-1-137_alternaria_red-delicious_outer_2', 'biosudtirol_063'];['biosudtirol_024', 'biosudtirol_483', 'DSS_MX_1_GOLD_0008', 'DSS_KA_1_058', 'DSS_KA_1_049', 'IMG_2568', '18-DSS-BNL-1-001_alternaria_bonita_outer_4', 'DSS_MX_1_BRAEBURN_0020', 'DSS_MX_1_GOLD_0010', 'biosudtirol_063'];['biosudtirol_024', 'biosudtirol_483', 'DSS_KA_1_049', 'biosudtirol_063'];['IMG_8394', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_1', 'IMG_3064', 'IMG_1831', '18-DSS-BS-NTO-1-002_alternaria_natyra_outer_4', 'IMG_2281', '18-DSS-KA-3-005_alternaria_granny-smith_outer_1', 'IMG_4891', 'IMG_3047', '18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1', 'IMG_9944', 'IMG_3067', 'IMG_5853', '18-DSS-MX-1-137_alternaria_red-delicious_outer_2'];['IMG_8394', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_1', 'IMG_3064', 'IMG_1831', '18-DSS-BS-NTO-1-002_alternaria_natyra_outer_4', 'IMG_2281', '18-DSS-KA-3-005_alternaria_granny-smith_outer_1', 'IMG_3047', '18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1', 'IMG_3067', 'IMG_5853', '18-DSS-MX-1-137_alternaria_red-delicious_outer_2']
307_1;307;12;Alternaria;a1;True;Alternaria;2;[('Penicillium', 0.30000000000000004), ('Alternaria', 0.29999999999999993), ('Mucor', -3.5), ('Botrytis', -5.4)];40.147;['IMG_6444', 'DSS_MX_1_BRAEBURN_0035', 'IMG_8394', '18-DSS-KA-2-031_alternaria_fuji_outer_1', 'DSS_MX_1_GOLD_0008', 'IMG_6438', '18-DSS-KA-2-034_alternaria_fuji_outer_1', 'DSS_KA_1_012', 'IMG_3047', 'IMG_2281', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_2', 'IMG_2252', 'IMG_5853', 'IMG_4974', 'DSS_MX_1_BRAEBURN_0040', '18-DSS-MX-1-137_alternaria_red-delicious_outer_2', 'DSS_KA_1_107', 'IMG_7948', 'IMG_9580', '18-DSS-MX-1-098_alternaria_morgenduft_outer_3', 'IMG_9419', 'IMG_8067', 'IMG_2728', '18-DSS-KA-3-008_alternaria_granny-smith_outer_1'];['IMG_6444', '18-DSS-KA-2-031_alternaria_fuji_outer_1', 'IMG_2252', '18-DSS-MX-1-137_alternaria_red-delicious_outer_2', 'IMG_9580', 'IMG_9419', '18-DSS-KA-3-008_alternaria_granny-smith_outer_1'];['18-DSS-KA-2-031_alternaria_fuji_outer_1', '18-DSS-MX-1-137_alternaria_red-delicious_outer_2', '18-DSS-KA-3-008_alternaria_granny-smith_outer_1'];['DSS_MX_1_BRAEBURN_0035', 'IMG_8394', 'DSS_MX_1_GOLD_0008', 'IMG_6438', '18-DSS-KA-2-034_alternaria_fuji_outer_1', 'DSS_KA_1_012', 'IMG_3047', 'IMG_2281', '18-DSS-BS-NTO-1-005_alternaria_natyra_outer_2', 'IMG_5853', 'IMG_4974', 'DSS_MX_1_BRAEBURN_0040', 'DSS_KA_1_107', 'IMG_7948', '18-DSS-MX-1-098_alternaria_morgenduft_outer_3', 'IMG_8067', 'IMG_2728'];['DSS_MX_1_BRAEBURN_0035', 'IMG_8394', 'DSS_MX_1_GOLD_0008', 'IMG_6438', 'DSS_KA_1_012', 'IMG_3047', 'IMG_2281', 'IMG_5853', 'IMG_4974', 'DSS_MX_1_BRAEBURN_0040', 'DSS_KA_1_107', 'IMG_7948', 'IMG_8067', 'IMG_2728']
307_2;307;8;Alternaria;a2;True;Alternaria;1;[('Alternaria', 2.2), ('Botrytis', -3.5), ('Mucor', -3.5), ('Penicillium', -3.5)];61.173;['18-DSS-MX-1-137_alternaria_red-delicious_outer_2', 'IMG_2975', 'IMG_7451', 'biosudtirol_039', '18-DSS-KA-3-008_alternaria_granny-smith_outer_1', 'DSS_KA_1_012', 'DSS_KA_1_107', 'IMG_7921', 'IMG_6441', 'IMG_3047', 'DSS_GEOS_1_189', '18-DSS-KA-3-028_alternaria_granny-smith_outer_1', 'IMG_1831', '18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1', 'IMG_2568', 'DSS_MX_1_FUJI_0015', '18-DSS-BS-NTO-1-002_alternaria_natyra_outer_4', 'DSS_KA_1_102', 'biosudtirol_483', 'IMG_8072', '18-DSS-KA-3-030_alternaria_granny-smith_outer_1', 'IMG_2728', 'IMG_8906', 'IMG_3910'];['18-DSS-MX-1-137_alternaria_red-delicious_outer_2', '18-DSS-KA-3-008_alternaria_granny-smith_outer_1', 'DSS_KA_1_107', 'IMG_6441', '18-DSS-KA-3-028_alternaria_granny-smith_outer_1', 'IMG_1831', '18-DSS-KA-3-030_alternaria_granny-smith_outer_1'];['18-DSS-MX-1-137_alternaria_red-delicious_outer_2', '18-DSS-KA-3-008_alternaria_granny-smith_outer_1', '18-DSS-KA-3-028_alternaria_granny-smith_outer_1', '18-DSS-KA-3-030_alternaria_granny-smith_outer_1'];['IMG_2975', 'IMG_7451', 'biosudtirol_039', 'DSS_KA_1_012', 'IMG_7921', 'IMG_3047', 'DSS_GEOS_1_189', '18-DSS-CAFA-2-017_alternaria_granny-smith_outer_1', 'IMG_2568', 'DSS_MX_1_FUJI_0015', '18-DSS-BS-NTO-1-002_alternaria_natyra_outer_4', 'DSS_KA_1_102', 'biosudtirol_483', 'IMG_8072', 'IMG_2728', 'IMG_8906', 'IMG_3910'];['IMG_2975', 'IMG_7451', 'biosudtirol_039', 'DSS_KA_1_012', 'IMG_7921', 'IMG_3047', 'DSS_GEOS_1_189', 'IMG_2568', 'DSS_MX_1_FUJI_0015', 'DSS_KA_1_102', 'biosudtirol_483', 'IMG_8072', 'IMG_2728', 'IMG_8906', 'IMG_3910']
